query_id	query
88	O que foram as manifestações de 2013 no Brasil?
89	Processos de impeachment no Brasil
90	Processo de industrialização do Brasil
91	Quais são as regiões economicamente importantes no Brasil?
92	Roteiros para casais no sul do Brasil
93	Melhores praias do litoral potiguar
94	Quais são as cidades do Caminho da Fé?
95	É possível conhecer o Pico da Bandeira com crianças?
96	Esportes aquáticos no lago Paranoá
97	Quais os principais times do campeonato estadual Paranaense?
98	Qual o critério para classificação para a Copa do Brasil?
99	Quais são as principais religiões do Brasil?
100	Qual objetivo da Enel Brasil?
101	Qual a abordagem de mineração da moeda digital Chia (XCH)?
102	Quais produtos são revendidos pela empresa Casa da Coifa?
103	Em que ano surgiu a Universities and Colleges Admissions Service (UCAS)?
104	Quais etapas para a inscrição pelo Colleges Admissions Service (UCAS)?
105	Onde está localizada a Praça XV de Novembro?
106	Quais os monumentos históricos situados na Praça XV de Novembro?
107	Quando foi inaugurada a Estátua Equestre de Dom João VI?
108	Mercado de trabalho para profissionais formados em Engenharia Química
109	O que é o programa International Office da universidade São Judas?
110	Quais profissionais podem fazer o curso de Práticas de Alfabetização?
111	Quais os sintomas mais frequentes de metástases no cérebro?
112	Tratamento para metástases cerebrais
113	Fatores de risco para cancer de pele
114	Quais os riscos nos ambientes hospitalares? 
115	Cuidados ao usar materiais perfurocortantes
116	Dentro do contexto da depressão, como a psicose se manisfeta?
117	Delirio versus alucinação
118	Quais os tipos de alucinações?
119	Como a técnica de normalização ajudam pacientes psicóticos?
120	Quantos dias a Porto seguro leva para aprovação de cartão de crédito?
121	Potência do modelo Khrisma Spirit S50
122	Sinopse do desenho 'Avatar: A Lenda De Korra'
123	Quando foi o lançamento de 'Avatar: A Lenda De Korra' ?
124	Qual a meta de vacição contra covid-19 para crianças no Acre?
125	Quais os benefício do pilates?
126	Quantas placas são formadas pelos materiais condutores?
127	O que é a associação em série de um capacitor?
128	Quando é o dia Mundial da Alimentação?
129	Qual a diferença entre gastrite aguda e gastrite crônica?
130	Quais os tratamentos sem o uso de medicações para gastrite?
131	Existem remedios naturais para gastrite?
132	Ingredientes para o molho da feijoada
133	Vantagens de roletes para fuga de gatos
134	Opções de Roletes caseiros para gatos
135	Quem inventou as máquinas a vapor?
136	Qual foi a importância da usina de Volta Redonda RJ para a industrialização brasileira?
137	Como recorrer a uma multa indevida no DETRAN?
138	Técnicas para disfarçar cabelos brancos
139	Dicas para hidratação de cabelos clareados
140	Quais tons são usados no Ombré hair?
141	Câmera Minja speed Dome não para de girar, o que pode ser?
142	Como baixar arquivos do OneDrive?
143	Limites de download no OneDrive
144	Qual o objetivo dos quantificadores na matemática?
145	Qual a diferença do quantificador existencial com o quantificador universal?
146	Quais as principais linhas de pesquisa da GEPEDISC?
147	Opções de Seguro da Essor Seguros
148	Quais obras foram publicadas por Regina Helena Costa?
149	Como José Sarney se tornou presidente do Brasil?
150	Dicas de escolha de números ideias para Lotofácil
151	Quantas telas tem o notebook  ROG Zephyrus Duo 16? 
152	Quais os sinonimos de eficiência relacionado a competências?
153	Quais os tipos de denominação (DO) que os vinhos podem receber?
154	Qual o uso dos códigos SWIFT?
155	Como é gerado um código SWIFT?
156	Como desenvolveu-se a expansão portuguesa no continente Africano?
157	Crianças de quantos anos são exigidas autorização de viagem nacional?
158	Quais são as categorias de inovação?
159	Exemplo de  empresas que fazem inovações incrementais
160	Quais as formas de pagamento disponível no PagTesouro?
161	Motivos para a saída de Jorge Jesus da Benfica?
162	"Difetença entre ""convidar para"" e ""convidar a"""
163	Quais as etapas de distribuição da coca-cola?
164	Qual é a empresa de energia em Fernando de Noronha?
165	Quais as características de vitimas do tráfico humano?
166	Quais as vantagens do uso de celular corporativos?
167	"O que são os celulares ""mid-range""?"
168	As primaveiras estão sendo antessipadas?
169	Quanto tempo leva o polimento de para-brisa?
170	Quais as causas para lábios inflamados em crianças?
171	Como evitar edema labial?
172	Como configurar uma linguagem do teclado windowns 10?
173	O que é o Open Space?
174	Quais as desvantagens do Open Space?
175	Qual o significado da palavra Purim no hebraico?
176	Quais lugares visitar em Barcelona?
177	"Qual definição da palavra ""afligir""?"
178	Quanto de armazenamento tem o Aspire 3?
179	Quais os horários de atendimento do TeleCovid?
180	Como obter o visto EB-5?
181	Qual a causa de pessoas com olho de cada cor?
182	Quais as origens de pessoas com olhos verdes?
183	Quais segmentos um acordo de não divulgação protege?
184	Quais são as vantagens de fazer um acordo de não divulgação?
185	Exemplos de equipamentos de Proteção Coletiva
186	Como se aplica o Ipratrópio?
187	Quais serviços são oferecidos pela  Xingu Cargo?
188	Para quais linguagens a empresa de Tradução Juramentada fornece?
189	No que se difere o civismo da cidadania?
190	Qual é o tipo de rendimento do CDB?
191	Qual o prazo comum de um CDB?
192	Como definir a missão de uma empresa?
193	Quais atitudes podem prejudicar a saúde mental?
194	Quais aitudes ajudam no controle do estresse?
195	O que pode deixar a internet lenta?
196	Como deixar a internet rápida?
197	Quais as qualidades das roupas peruanas?
198	"O que foi o movimento ""Impressionismo""?"
199	Quais foram os principais artistas do Impressionismo?
